2026-04-14T07:00:21+00:00
Running ./benchscpu
Run on (32 X 5700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.19, 4.57, 3.33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
POSEIDON2_BENCH_FULL_AVX_W<8>/32/real_time             91251 us        68824 us            7
POSEIDON2_BENCH_FULL_AVX_W<12>/16/real_time           186486 us       163092 us            4
POSEIDON2_BENCH_FULL_AVX_W<12>/32/real_time           116736 us        86548 us            6
LINEAR_HASH_BENCH_W<8>/16/real_time                 16856723 us     13360675 us            1
LINEAR_HASH_BENCH_W<8>/32/real_time                 11271590 us     10365888 us            1
LINEAR_HASH_BENCH_W<12>/16/real_time                16693003 us     15228387 us            1
LINEAR_HASH_BENCH_W<12>/32/real_time                14908625 us      7676424 us            1
LINEAR_HASH_BENCH_AVX_W<8>/16/real_time             24232988 us     15441982 us            1
LINEAR_HASH_BENCH_AVX_W<8>/32/real_time             16930195 us      8123159 us            1
LINEAR_HASH_BENCH_AVX_W<12>/16/real_time            11497261 us      6728391 us            1
LINEAR_HASH_BENCH_AVX_W<12>/32/real_time            10290911 us      6075569 us            1
MERKLETREE_BENCH_AR<12, 3>/16/real_time               332938 us       214898 us            2
MERKLETREE_BENCH_AR<12, 3>/32/real_time               454684 us       244886 us            2
MERKLETREE_BENCH_AR<16, 4>/16/real_time               329306 us       199008 us            2
MERKLETREE_BENCH_AR<16, 4>/32/real_time               263964 us       219879 us            2
MERKLETREE_BATCH_BENCH_AVX_AR<12, 3>/16/real_time     252600 us       186230 us            3
MERKLETREE_BATCH_BENCH_AVX_AR<12, 3>/32/real_time     274408 us       170911 us            3
MERKLETREE_BATCH_BENCH_AVX_AR<16, 4>/16/real_time     236956 us       174156 us            3
MERKLETREE_BATCH_BENCH_AVX_AR<16, 4>/32/real_time     230017 us       146980 us            3
INTT_BENCH/16/real_time                                 6.80 s          6.80 s             1
INTT_BENCH/32/real_time                                 5.20 s          4.81 s             1
